Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_History_Months
33,13,31592.03,2550.66916666667,6,7,18,2.0,27,20,1.0,778.91,41.7085576591253,1,41.8435038321354,118.254215644737,364.969197189794,236
39,6,34631.43,2845.9525,8,7,15,5.0,17,17,4.0,568.94,39.8889285645266,1,139.897323869739,80.0149045200348,314.683021610226,158
39,10,28838.96,2379.24666666667,3,1,10,1.0,1,10,4.0,221.7,33.2762023679501,0,21.1945544754685,174.376770458495,332.353341732703,372
25,6,15968.78,1499.73166666667,8,7,8,6.0,10,20,10.0,279.78,38.8159209542153,2,41.786749428797904,193.211920964494,204.974496273374,201
37,13,16580.73,1332.7275,10,7,964,8.0,17,22,14.0,3019.98,25.9720509034436,2,81.7160694845057,134.607038251443,206.949642264051,168
27,4,17296.94,1254.41166666667,6,7,10,3.0,27,19,8.0,1855.69,30.6635353906185,1,23.1383895649633,10.7010315464839,331.601745555219,151
20,10,61279.77,4669.55247799848,6,3,17,5.0,18,7,8.0,1836.43,36.131197563574,1,430.716700975038,224.390910814346,371.252160212136,116
31,7,18146.26,1442.18833333333,7,7,23,5.0,26,16,14.0,1708.57,38.6136257623602,1,66.1580375999423,144.038612914504,224.022182818887,222
32,3,37937.56,3129.46333333333,10,6,30,,44,26,6.0,3339.22,31.754829068683,1,243.08306836999,139.489309848761,220.373955114582,78
36,15,11840.105,763.675416666667,7,4,20,,7,15,2.0,1259.92,23.0799590958092,1,32304.0,28.4667073706941,297.765587866719,260
20,5,28287.18,2236.265,4,4,2,1459.0,8,9,0.0,1010.16,34.0761996424135,0,15.1592238317801,213.325797562501,275.141478605719,209
31,1,29986.48,2655.87333333333,10,7,18,7.0,49,16,11.0,3836.36,33.5505519466545,1,120.765756884496,46.8565195789006,347.965056869936,11
53,5,15127.05,1482.33921018139,8,5,15,4.0,28,12,2.0,194.3,26.0054739909979,0,93.5103373061094,76.4902708964334,324.506431616063,312
25,4,32382.37,2960.53083333333,1467,7,5,2.0,14,14,4.0,626.47,29.0247718609284,0,38.7735681794657,145.91394855497,401.365566598898,352
34,11,8056.13,530.344166666667,10,5,32,8.0,48,16,6.0,4230.04,23.462393904705,1,37.5826937901168,42.8200947317449,262.631628144805,110
28,4,78056.04,6384.67,7,5,17,1.0,18,14,10.0,248.71,34.9115344136806,1,44.0883740668128,98.032715497351,736.345910435836,224
17,9,47765.76,3830.48,5,3,12,0.0,29,6,5.0,1447.09,25.4194923418416,1,0.0,129.914733112866,503.133266887134,233
30,5,16752.69,1666.0575,8,6,26,6.0,33,22,9.0,2410.07,23.0963655277768,1,73.6998974355029,72.7780456606149,280.127806903882,84
22,9,83334.5,6918.54166666667,5,3,3,3.0,3,3,4.0,1188.93,32.6150188926449,2,168.131731415524,252.753296480043,530.9691387711,231
